Module,Lesson Name,Description,Language,Type,CWEs,Campaigns
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,python,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,rails,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,php,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Slow Down,Brute force a user's password on a non-rate-limited login page.,scala,Lesson,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Brute Force,Brute force a user's password on a non-rate-limited login page.,dotnet,Challenge,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Brute Force,Brute force a user's password on a non-rate-limited login page.,flask,Challenge,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Brute Force,Brute force a user's password on a non-rate-limited login page.,java,Challenge,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Brute Force,Brute force a user's password on a non-rate-limited login page.,rails,Challenge,"cwe-1355, cwe-1348, cwe-799, cwe-307, cwe-770","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 9: Security Logging and Monitoring Failures,Hold the Line,Learn how attackers use CRLF injection to flood log files with false events and how to remediate a CRLF vulnerability.,node,Lesson,"cwe-1355, cwe-116, cwe-117, cwe-93","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 9: Security Logging and Monitoring Failures,Hold the Line,Learn how attackers use CRLF injection to flood log files with false events and how to remediate a CRLF vulnerability.,dotnet,Lesson,"cwe-1355, cwe-116, cwe-117, cwe-93","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 9: Security Logging and Monitoring Failures,Hold the Line,Learn how attackers use CRLF injection to flood log files with false events and how to remediate a CRLF vulnerability.,java,Lesson,"cwe-1355, cwe-116, cwe-117, cwe-93","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,python,Lesson,"cwe-1345, cwe-284, cwe-1275, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,dotnet,Lesson,"cwe-1345, cwe-284, cwe-1275, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,flask,Lesson,"cwe-1345, cwe-284, cwe-1275, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,rails,Lesson,"cwe-1345, cwe-284, cwe-1275, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,go,Lesson,"cwe-1345, cwe-284, cwe-1275, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,node,Lesson,"cwe-1345, cwe-284, cwe-1275, cwe-medium","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,php,Lesson,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,To Protect and To Serve Secure Cookies,Tamper with an insecure cookie for privilege escalation.,scala,Lesson,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,Fix the Sessions,Tamper with user sessions to authenticate as a different user.,java,Lesson,"cwe-1345, cwe-284, cwe-1275","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 1: Broken Access Control,Bad Cookie,Decrypt cookies and hijack another user account.,node,Challenge,"cwe-1345, cwe-642, cwe-565 , cwe-784, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 1: Broken Access Control,Bad Cookie,Decrypt cookies and hijack another user account.,dotnet,Challenge,"cwe-1345, cwe-1354, cwe-642, cwe-565, cwe-784, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 1: Broken Access Control,Bad Cookie,Decrypt cookies and hijack another user account.,flask,Challenge,"cwe-1345, cwe-1354, cwe-642, cwe-565, cwe-784, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 1: Broken Access Control,Bad Cookie,Decrypt cookies and hijack another user account.,go,Challenge,"cwe-1345, cwe-1354, cwe-642, cwe-565, cwe-784, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 1: Broken Access Control,Bad Cookie,Decrypt cookies and hijack another user account.,rails,Challenge,"cwe-1345, cwe-1354, cwe-642, cwe-565, cwe-784, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 1: Broken Access Control,Bad Cookie,Decrypt cookies and hijack another user account.,scala,Challenge,"cwe-1345, cwe-1354, cwe-642, cwe-565, cwe-784, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 1: Broken Access Control,Loose Lips Sink Servers,Leaking sensitive information can lead to account and server compromises.,node,Lesson,"cwe-201, cwe-200, cwe-598, cwe-202, cwe-199, cwe-1345","Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,Loose Lips Sink Servers,Leaking sensitive information can lead to account and server compromises.,dotnet,Lesson,"cwe-201, cwe-200, cwe-598, cwe-202, cwe-199, cwe-1345","Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,Secrets in the Log,"While testing a new application, developers might write sensitive information to a log file, or log analyzer, which should not be included in a production system. It is critical that developers ensure no sensitive information is included in data that a malicious actor might be able to access, in either development or production systems. ",java,Lesson,cwe-201,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 1: Broken Access Control,Redirect Rodeo,Protect users by implementing secure redirect practices.,dotnet,Lesson,"cwe-601, cwe-1345","Intermediate (OWASP 10 additional topics and optional challenges), All core labs (All topics)"
OWASP 1: Broken Access Control,Redirect Rodeo,Protect users by implementing secure redirect practices.,node,Lesson,"cwe-601, cwe-1345, cwe-610, cwe-19","Intermediate (OWASP 10 additional topics and optional challenges), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,dotnet,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,flask,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,go,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,java,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,node,Lesson,"cwe-1347, cwe-943, cwe-89, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,python,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,php,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,rails,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Own the Database,Practice injection on a web app that uses a SQL database to retrieve data.,scala,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,dotnet,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,flask,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,go,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,java,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,node,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,php,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,python,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,rails,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Parameterize all the things,Defend against injection using an app that returns data from a SQL-based database.,scala,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Timing is everything,Indirectly reveal sensitive data using SQL 'sleep' commands.,python,Challenge,,"Advanced (OWASP 10 advanced labs and challenges), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Timing is everything,Indirectly reveal sensitive data using SQL 'sleep' commands.,flask,Challenge,,"Advanced (OWASP 10 advanced labs and challenges), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",dotnet,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",flask,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",go,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",java,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",node,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",php,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",python,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",rails,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Bobby Tables,"Use SQLi to return sensitive data, then properly parameterize queries to avoid injection attacks.",scala,Challenge,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,dotnet,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,flask,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,go,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,java,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,node,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,python,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,rails,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,scala,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Can you see your reflection?,Practice exploiting simple cross-site scripting vulnerabilities to deliver JavaScript payloads.,php,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 3: Injection,Down with Uploads,"Stored XSS and directory traversal via ""image"" uploads.",dotnet,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Down with Uploads,"Stored XSS and directory traversal via ""image"" uploads.",java,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Down with Uploads,"Stored XSS and directory traversal via ""image"" uploads.",flask,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Down with Uploads,"Stored XSS and directory traversal via ""image"" uploads.",node,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Down with Uploads,"Stored XSS and directory traversal via ""image"" uploads.",python,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Down with Uploads,"Stored XSS and directory traversal via ""image"" uploads.",scala,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Down with Uploads,"Stored XSS and directory traversal via ""image"" uploads.",php,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Alert,Exploit a non-persistent XSS vulnerability in a poorly protected app.,flask,Challenge,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Alert,Exploit a non-persistent XSS vulnerability in a poorly protected app.,java,Challenge,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Alert,Exploit a non-persistent XSS vulnerability in a poorly protected app.,node,Challenge,,"Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Alert,Exploit a non-persistent XSS vulnerability in a poorly protected app.,python,Challenge,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Alert,Exploit a non-persistent XSS vulnerability in a poorly protected app.,scala,Challenge,,"Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Persistence,Exploit directory traversal and persistent XSS vulnerabilities in a poorly protected app.,flask,Challenge,"cwe-1347, cwe-1345, cwe-74, cwe-73, cwe-23, cwe-24, cwe-22, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Persistence,Exploit directory traversal and persistent XSS vulnerabilities in a poorly protected app.,java,Challenge,"cwe-1347, cwe-1345, cwe-74, cwe-73, cwe-23, cwe-24, cwe-22, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Persistence,Exploit directory traversal and persistent XSS vulnerabilities in a poorly protected app.,node,Challenge,"cwe-1347, cwe-1345, cwe-74, cwe-73, cwe-23, cwe-24, cwe-22, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
